n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,42325.2,4386.45,38669,38877.8,39760,48698.5,50013
5,316124,17519.4,299714,302221,312024,318242,372111
6,2.33289e+06,42375.3,2.24656e+06,2.30907e+06,2.32979e+06,2.361e+06,2.48327e+06
7,1.81549e+07,1.18747e+06,1.70912e+07,1.76302e+07,1.78882e+07,1.82072e+07,2.47363e+07
8,1.30687e+08,2.79121e+06,1.28636e+08,1.29101e+08,1.29808e+08,1.30496e+08,1.40222e+08
9,1.0126e+09,8.8834e+06,1.00138e+09,1.0071e+09,1.01058e+09,1.0138e+09,1.04759e+09
10,7.93404e+09,9.81116e+07,7.86541e+09,7.87345e+09,7.88192e+09,7.95022e+09,8.39547e+09
