n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,38267.6,5369.41,34665,35721.8,36484.5,36605.8,60016
5,289301,19285.9,267616,278450,282888,288001,366156
6,2.14711e+06,34494.9,2.10842e+06,2.12377e+06,2.13444e+06,2.16372e+06,2.27902e+06
7,1.68007e+07,1.30297e+06,1.61229e+07,1.63326e+07,1.64883e+07,1.67063e+07,2.39747e+07
8,1.26723e+08,3.659e+06,1.22393e+08,1.23634e+08,1.25171e+08,1.29803e+08,1.33951e+08
9,9.99071e+08,3.27012e+07,9.6796e+08,9.7247e+08,9.83572e+08,1.0251e+09,1.11916e+09
10,7.78179e+09,9.03873e+07,7.71223e+09,7.72274e+09,7.74049e+09,7.80584e+09,8.22387e+09
