n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,668277,31191.8,631603,644276,656314,693498,761657
5,1.06335e+07,299164,1.00752e+07,1.04421e+07,1.05917e+07,1.08267e+07,1.15568e+07
6,1.59034e+08,4.90325e+06,1.55502e+08,1.56155e+08,1.56747e+08,1.58356e+08,1.73119e+08
7,2.6224e+09,7.38756e+07,2.54872e+09,2.5583e+09,2.59516e+09,2.67677e+09,2.81045e+09
8,4.13786e+10,2.50379e+08,4.1205e+10,4.13116e+10,4.13274e+10,4.13498e+10,4.27571e+10
