n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,198545,68771.6,179343,181487,187066,194500,732763
5,1.53694e+06,54464,1.46685e+06,1.50779e+06,1.52764e+06,1.5546e+06,1.79718e+06
6,1.90891e+07,282182,1.85678e+07,1.88708e+07,1.90664e+07,1.92833e+07,1.96834e+07
7,2.88668e+08,7.51223e+06,2.79166e+08,2.83463e+08,2.86783e+08,2.91214e+08,3.11169e+08
8,4.76711e+09,1.05476e+08,4.64347e+09,4.6824e+09,4.74744e+09,4.81574e+09,5.06317e+09
9,7.64499e+10,1.30836e+09,7.42893e+10,7.54094e+10,7.60291e+10,7.75594e+10,8.00628e+10
