n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,40384.8,4995.3,35927,37263.5,37862.5,45185.8,60585
5,284109,11278.8,275367,275988,279600,288867,332125
6,2.29179e+06,58035.3,2.21604e+06,2.25306e+06,2.26623e+06,2.32801e+06,2.44632e+06
7,1.75113e+07,279542,1.68445e+07,1.73093e+07,1.75469e+07,1.76896e+07,1.80382e+07
8,1.31431e+08,4.36076e+06,1.27461e+08,1.28447e+08,1.30011e+08,1.32274e+08,1.49432e+08
9,1.0268e+09,2.74898e+07,9.96353e+08,1.0002e+09,1.02699e+09,1.04613e+09,1.08902e+09
10,7.99476e+09,1.48015e+08,7.91764e+09,7.92822e+09,7.9351e+09,7.96501e+09,8.54005e+09
