n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,203106,9934.16,193917,198119,198871,204302,260893
5,2.63651e+06,55502.4,2.54903e+06,2.60939e+06,2.62659e+06,2.65094e+06,2.97083e+06
6,4.07551e+07,1.81438e+06,3.90943e+07,3.9753e+07,4.03489e+07,4.11877e+07,5.23953e+07
7,5.9309e+08,1.04791e+07,5.87315e+08,5.88589e+08,5.89233e+08,5.90568e+08,6.34219e+08
8,9.36915e+09,1.3753e+08,9.27017e+09,9.28399e+09,9.31867e+09,9.3728e+09,9.90828e+09
9,1.56159e+11,1.04592e+09,1.55144e+11,1.55435e+11,1.55723e+11,1.56508e+11,1.58981e+11
