n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
4,40326.5,3231.83,35589,38554.2,40220,41461.8,59613
5,283231,12264.5,272838,278361,280306,283147,340512
6,2.19999e+06,117043,2.12483e+06,2.16753e+06,2.17168e+06,2.18654e+06,2.98215e+06
7,1.7256e+07,1.20145e+06,1.63679e+07,1.67822e+07,1.68706e+07,1.70506e+07,2.32009e+07
8,1.27481e+08,3.7389e+06,1.23223e+08,1.23989e+08,1.26412e+08,1.31075e+08,1.34438e+08
9,9.92039e+08,1.85116e+07,9.72101e+08,9.78953e+08,9.85493e+08,9.96368e+08,1.04829e+09
10,7.96205e+09,2.39383e+08,7.77444e+09,7.79831e+09,7.84633e+09,8.00199e+09,8.64206e+09
